id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
1,1.0,0.0,0.75,2.1,0.6,2.6375220059606157,-0.27896462526070154,-1.3585573806999138,0.9997214777997662,0.042444391265312936
2,1.0,0.0,0.75,2.1,0.7,2.798823506954097,-0.49409423540809105,-1.3047292715460062,0.999714490742511,0.04794620091059926
3,1.0,0.0,0.75,2.1,0.8,2.781265826443277,-0.45955631450050327,-1.3217095119427735,0.999757824104428,0.04545329859466778
4,1.0,0.0,0.75,2.1,0.9,3.080964741682976,-0.5625948824509575,-1.5183698592320192,0.9997773714336238,0.04578409788594518
5,1.0,0.0,0.75,2.1,1.0,2.7949177712500806,-0.5910893981868771,-1.2038283730632033,0.9997795802227448,0.04675997079932816
6,1.0,0.0,0.75,2.2,0.6,2.531947569456044,-0.29860720864482887,-1.233340360811215,0.9996871137410527,0.044331253891332016
7,1.0,0.0,0.75,2.2,0.7,2.6217955385502916,-0.3348604405685405,-1.286935097981751,0.9997293539587423,0.047129404347888655
8,1.0,0.0,0.75,2.2,0.8,2.703948785209682,-0.5103914693774813,-1.193557315832201,0.999723939840248,0.048390744886478224
9,1.0,0.0,0.75,2.2,0.9,2.732879553711439,-0.4611833464462786,-1.2716962072651603,0.999765660512381,0.047031345986956276
10,1.0,0.0,0.75,2.2,1.0,2.6777996194887597,-0.48553792410708335,-1.1922616953816765,0.9997828770931342,0.04617048249173447
11,1.0,0.0,0.75,2.3000000000000003,0.6,2.0483082494314995,-0.20386242262478507,-0.8444458268067147,0.9995914332118073,0.046843520249743
12,1.0,0.0,0.75,2.3000000000000003,0.7,2.625540719260412,-0.32052238108890313,-1.305018338171509,0.9997207061754491,0.04222433546656034
13,1.0,0.0,0.75,2.3000000000000003,0.8,2.625915878790115,-0.45833742713130843,-1.1675784516588066,0.9997174873612065,0.04639646596174062
14,1.0,0.0,0.75,2.3000000000000003,0.9,2.6797366717898257,-0.4710546806732024,-1.2086819911166231,0.9997414805895166,0.04503898546418522
15,1.0,0.0,0.75,2.3000000000000003,1.0,2.795667354939868,-0.39360934351826515,-1.402058011421603,0.9997742426856433,0.04880502486258846
16,1.0,0.0,0.75,2.4000000000000004,0.6,2.5524364471672807,-0.29184512812674096,-1.2605913190405398,0.9996305764941414,0.044164935654309186
17,1.0,0.0,0.75,2.4000000000000004,0.7,2.6022249587022666,-0.25578133488551336,-1.3464436238167532,0.9997295506388212,0.04575203937623175
18,1.0,0.0,0.75,2.4000000000000004,0.8,2.7285788665043413,-0.413826476435515,-1.3147523900688263,0.9997204154013803,0.050421567441196406
