id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
1,1,0,0.75,1.1,1.1,-3.2009325069241723,7.018767827484115,-2.8178353205599427,0.9998366623371616,0.04660494156020877
2,1,0,0.75,1.1,1.2000000000000002,2.763991844475542,-1.1389730131185656,-0.6250188313569763,0.9998392884232216,0.04479011407993001
3,1,0,0.75,1.1,1.3,3.078839472899258,-1.4957608626162708,-0.5830786102829871,0.9998396578560605,0.04701000540099935
4,1,0,0.75,1.1,1.4,2.8005857693140204,-1.1986236664298622,-0.601962102884158,0.99983926062406,0.04753279861091148
5,1,0,0.75,1.1,1.5,3.0423469064595925,-1.4108271501758456,-0.6315197562837469,0.999842334876564,0.04832521008187031
6,1,0,0.75,1.2000000000000002,1.1,3.033587562756853,-0.9964776919947167,-1.037109870762136,0.999833061443684,0.04402918580343784
7,1,0,0.75,1.2000000000000002,1.2000000000000002,2.46150863818096,-1.9515164252201012,0.4900077870391415,0.9998353473042103,0.04642104028822575
8,1,0,0.75,1.2000000000000002,1.3,2.7379552564573943,-0.6905237778174882,-1.047431478639906,0.999837352298705,0.0455042383290413
9,1,0,0.75,1.2000000000000002,1.4,3.0924787508233815,-1.0552294152216466,-1.0372493356017352,0.9998325152121986,0.04869389399520163
10,1,0,0.75,1.2000000000000002,1.5,3.015566686475823,-1.5261262590836038,-0.4894404273922195,0.9998394613047665,0.043841158595437545
11,1,0,0.75,1.3,1.1,2.720221349057796,-0.44684520581762016,-1.2733761432401758,0.9998315515894842,0.0480691966307447
12,1,0,0.75,1.3,1.2000000000000002,2.873111465313833,-0.8980752544709723,-0.9750362108428607,0.9998325918794004,0.046670069575238095
13,1,0,0.75,1.3,1.3,-3.4420497783828314,7.0014158260048,-2.5593660476219684,0.9998334144137341,0.046900528118245965
14,1,0,0.75,1.3,1.4,3.3947461201266043,-1.3227694530283238,-1.0719766670982807,0.9998353249761397,0.05071950828784971
15,1,0,0.75,1.3,1.5,2.972848424828162,-1.6217776147276235,-0.3510708101005385,0.9998396224424169,0.04546908791398283
16,1,0,0.75,1.4,1.1,2.9086654134696666,-1.122439023133153,-0.7862263903365135,0.9998272740471732,0.04599976427238089
17,1,0,0.75,1.4,1.2000000000000002,2.785440480451291,-0.49754308846961665,-1.2878973919816745,0.9998363534121861,0.04465565241788204
18,1,0,0.75,1.4,1.3,2.992809522681293,-0.3968915987344129,-1.5959179239468801,0.9998319454251694,0.04596615872148681
19,1,0,0.75,1.4,1.4,2.520717745789025,-2.0790839325969173,0.5583661868078919,0.9998378419664372,0.04392455808676582
20,1,0,0.75,1.4,1.5,2.736697851420132,-1.1420059888852072,-0.5946918625349249,0.9998357872026852,0.046972879317961035
21,1,0,0.75,1.5,1.1,2.939744748908852,-0.918468671690245,-1.0212760772186071,0.9998262212054866,0.04412147259510371
22,1,0,0.75,1.5,1.2000000000000002,3.129995537193434,-1.0872944420753106,-1.0427010951181237,0.9998307195747426,0.04564219229406143
23,1,0,0.75,1.5,1.3,3.1095315250475117,-1.368364234984947,-0.7411672900625649,0.99982559092732,0.04799295963509007
24,1,0,0.75,1.5,1.4,3.0449966390205994,-0.5323140657726964,-1.512682573247903,0.9998338225274561,0.04631317014217134
25,1,0,0.75,1.5,1.5,-3.605703570296471,6.98192770873643,-2.3762241384399596,0.9998335177552463,0.04723112496229103
