id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
1,1,0,0.75,1.1,0.6,3.112367261536453,-0.9357214894128637,-1.176645772123589,0.9997873402310822,0.04619733337840177
2,1,0,0.75,1.1,0.7,3.119496147422388,-1.0997839858277463,-1.0197121615946416,0.9997967997033476,0.04758079056924057
3,1,0,0.75,1.1,0.8,3.067813154757917,-1.3741765718110766,-0.6936365829468402,0.9998004630103792,0.048681304234415856
4,1,0,0.75,1.1,0.9,3.11857904585346,-0.7382384419923883,-1.3803406038610722,0.9998174694537235,0.0513139174002511
5,1,0,0.75,1.1,1.0,2.887002298426782,-0.1543847545777473,-1.732617543849034,0.9998215372025785,0.0501161160391109
6,1,0,0.75,1.2000000000000002,0.6,3.0230912112826034,-0.9100619946541783,-1.113029216628425,0.999774890824125,0.04473169274854401
7,1,0,0.75,1.2000000000000002,0.7,3.1673986747055514,-1.0802064148272923,-1.0871922598782595,0.9997897130921259,0.04725612892824477
8,1,0,0.75,1.2000000000000002,0.8,3.1401929651877096,-1.2259822405957443,-0.9142107245919652,0.9997983399273958,0.04580168610555041
9,1,0,0.75,1.2000000000000002,0.9,3.0824422005198473,-1.2544295628622157,-0.8280126376576314,0.9997924415992822,0.04882654632920572
10,1,0,0.75,1.2000000000000002,1.0,2.4017051978045605,-0.7367593513579274,-0.664945846446633,0.9998176767738177,0.04730346286275955
11,1,0,0.75,1.3,0.6,3.1527730993251133,-0.7699783225206313,-1.3827947768044822,0.9997756692819415,0.04538954906935979
12,1,0,0.75,1.3,0.7,3.0228846157800966,-0.8529492361242116,-1.169935379655885,0.9997860323034584,0.04797212442256377
13,1,0,0.75,1.3,0.8,2.9708201884507206,-0.7681815942312168,-1.2026385942195037,0.9998015211830765,0.04707527928937796
14,1,0,0.75,1.3,0.9,2.921272155509981,-1.0429773149201937,-0.8782948405897871,0.9997870167514619,0.05136995879778943
15,1,0,0.75,1.3,1.0,2.9941845438060586,-1.0272503758796612,-0.9669341679263975,0.9997970433462844,0.05017290538541749
16,1,0,0.75,1.4,0.6,3.1584049682491155,-0.7761321585720835,-1.3822728096770318,0.9997678094020191,0.044063372230429096
17,1,0,0.75,1.4,0.7,2.8665310363821703,-0.6133748250015666,-1.2531562113806036,0.9997787805100186,0.047663868597657685
18,1,0,0.75,1.4,0.8,2.747594730344087,-0.6087644122787396,-1.1388303180653474,0.9998025284863715,0.04784705903537698
19,1,0,0.75,1.4,0.9,3.1412099395694177,-1.0826249315567467,-1.058585008012671,0.9997889557937457,0.046907874674396555
20,1,0,0.75,1.4,1.0,3.06388579842416,-1.064315374482249,-0.9995704239419109,0.9997986415694609,0.05011773154359738
21,1,0,0.75,1.5,0.6,3.0495916311597484,-0.7259743673190262,-1.323617263840722,0.9997519311362474,0.04209667290880979
22,1,0,0.75,1.5,0.7,2.9157550793566336,-0.6522599555903866,-1.263495123766247,0.9997676835022903,0.046006311464387994
23,1,0,0.75,1.5,0.8,2.9018845867013012,-0.8458716627025956,-1.0560129239987057,0.9997843237690806,0.051126051601122297
24,1,0,0.75,1.5,0.9,3.079536823256461,-0.8584919798563351,-1.221044843400126,0.9998020442140721,0.04918931144907214
25,1,0,0.75,1.5,1.0,3.0235261779054348,-0.8672489025401944,-1.1562772753652404,0.9997866133288563,0.04343026969577101
