id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
1,1,0,0.75,0.6,0.6,-1.8866270590451493,6.914564145139952,-4.027937086094803,0.9997544260032598,0.05664849266270598
2,1,0,0.75,0.6,0.7,3.046544054563186,-1.4998225638585998,-0.5467214907045862,0.9997612079283259,0.058368143478484305
3,1,0,0.75,0.6,0.8,2.5926847507732127,-1.8584556134236387,0.2657708626504258,0.9997783615558175,0.06364790152490574
4,1,0,0.75,0.6,0.9,2.7400899428516112,-1.740698911727693,0.0006089688760817051,0.9997813665992562,0.060998382656473574
5,1,0,0.75,0.6,1.0,2.850423583011417,-1.8281524627464476,-0.02227112026496959,0.9997608967588035,0.06491606725443246
6,1,0,0.75,0.7,0.6,2.7311973852477336,-1.4222420325881964,-0.3089553526595372,0.9997548093913121,0.05698607394897467
7,1,0,0.75,0.7,0.7,2.1933094904731725,-2.002405316055247,0.8090958255820744,0.999766309152145,0.05986675907077339
8,1,0,0.75,0.7,0.8,2.7216777752552432,-1.5362568483225167,-0.1854209269327263,0.9997734013596526,0.05941785157509559
9,1,0,0.75,0.7,0.9,2.916780039673481,-1.7284500507745255,-0.18832998889895552,0.9997813030420288,0.06090767946384407
10,1,0,0.75,0.7,1.0,2.694315342928428,-1.827544133311212,0.13322879038278407,0.9997942664174769,0.06424266914805352
11,1,0,0.75,0.8,0.6,2.915320907004343,-1.2134311761150018,-0.7018897308893411,0.9997549264209392,0.051558210246310215
12,1,0,0.75,0.8,0.7,3.1097774742404987,-1.2388037308412434,-0.8709737433992555,0.9997545681959273,0.056178475473493146
13,1,0,0.75,0.8,0.8,2.6776210578232678,0.2477117435119802,-1.9253328013352482,0.9997525365008662,0.058617983048886504
14,1,0,0.75,0.8,0.9,2.8009043175108226,-1.5663495775642988,-0.2345547399465236,0.9997529332182238,0.05932745881185462
15,1,0,0.75,0.8,1.0,2.9671983250347385,-0.9871370837577135,-0.980061241277025,0.9997685087910644,0.06055354919566696
16,1,0,0.75,0.9,0.6,3.100575664004111,-1.1056579514408593,-0.9949177125632517,0.9997445488361881,0.049663034535430944
17,1,0,0.75,0.9,0.7,3.1175590127130284,-1.2415669390979507,-0.8759920736150778,0.9997555703003005,0.056351783592835776
18,1,0,0.75,0.9,0.8,2.952473907124938,-1.618496919394629,-0.3339769877303091,0.9997606479637516,0.06229843061479319
19,1,0,0.75,0.9,0.9,-2.8681481433454756,7.022450887283351,-3.154302743937875,0.9997469897453622,0.054767430824361016
20,1,0,0.75,0.9,1.0,2.8203002027558965,-1.8129538910825214,-0.007346311673375412,0.9997627032539488,0.05878616612186192
21,1,0,0.75,1.0,0.6,3.0858202657214693,-1.0988687387630116,-0.9869515269584576,0.9997297619747744,0.05366628122458101
22,1,0,0.75,1.0,0.7,3.090454473845595,-1.2523018127711263,-0.8381526610744688,0.9997433357146691,0.054223409052182155
23,1,0,0.75,1.0,0.8,3.072185976325982,-1.2657285757715804,-0.8064574005544016,0.9997563175021178,0.05385623453589052
24,1,0,0.75,1.0,0.9,3.148226840722745,-1.2326502158712356,-0.9155766248515093,0.99976519493612,0.055673768405595146
25,1,0,0.75,1.0,1.0,-3.0570936302947334,7.023118417827176,-2.9660247875324424,0.9997528451081101,0.05794637605426427
